dType;deviceId;deviceCode;purpose;serviceVersion;deviceSubId;firmware;deviceStatus;env;certification;callbackId;serialNo;make;model;type;deviceSubType;deviceProvider;deviceProviderId;name;description;deviceTypeCode;zoneCode;regCenterId
Iris;3621339;16880767-9711-48b6-8f30-70f7af29ea5b;Registration;1.0.0;;1.0.0;Ready;Staging;L0;http://127.0.0.1:4501/;3621339;MANTRA;MATISX;Iris;Double;MANTRA;729aaa95-d812-4285-9231-c0200a970401;Double Iris;To capture Iris;IRS;CK;10001
Finger;3621362;422a3f95-9407-4210-8bb8-2d22c7b0f4c9;Registration;1.0.0;;1.0.0;Ready;Staging;L0;http://127.0.0.1:4501/;3621362;MANTRA;MORPHS60;Finger;Slap;MANTRA;729aaa95-d812-4285-9231-c0200a970401;Finger Scanner;To capture Finger data;FRS;CK;10001
