dType,deviceId,deviceCode,purpose,serviceVersion,deviceSubId,firmware,deviceStatus,env,certification,callbackId,serialNo,make,model,type,deviceSubType,deviceProvider,deviceProviderId,name,description,deviceTypeCode,zoneCode,regCenterId
Iris,3e6840d8-6b35-4007-9f4e-c09eff8a727c,3e6840d8-6b35-4007-9f4e-c09eff8a727c,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,9374524,Eyecool,ECI102,Iris,Double,SYNCBYTE,SYNCBYTE.TCI322,Double Iris,To capture Iris,IRS,CK,10001
Finger,4e7a8faa-d66f-4d08-bcdb-a64eba5c33c5,4e7a8faa-d66f-4d08-bcdb-a64eba5c33c5,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,C8R1ET07637,Aratek,FRO900,Finger,Slap,SYNCBYTE,SYNCBYTE.FRO900,Finger Scanner,To capture Finger data,FRS,CK,10001
Face,f1105a1d-abea-444c-8623-472fa9fe6c56,f1105a1d-abea-444c-8623-472fa9fe6c56,Registration,SB.WIN.001,[0],SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,417295365,Logitech,C615,Face,Full face,SYNCBYTE,SYNCBYTE.LTC165,Face Cam,To capture Face,CMR,CK,10001
