dType,deviceId,deviceCode,purpose,serviceVersion,deviceSubId,firmware,deviceStatus,env,certification,callbackId,serialNo,make,model,type,deviceSubType,deviceProvider,deviceProviderId,name,description,deviceTypeCode,zoneCode,regCenterId
Iris,2,d341e5e6-0e73-4d03-a2f7-bdb8ce1d432a,Registration,SB.WIN.001,"[1,2,3 ]",SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,9374525,Eyecool,ECI102,Iris,Double,SYNCBYTE,SYNCBYTE.TCI322,Double Iris,To capture Iris,IRS,CK,10001
Finger,1,c3950a33-bc67-4b0f-9775-dac156ba91be,Registration,SB.WIN.001,"[1,2,3 ]",SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,C8R1ET07637,Aratek,FRO900,Finger,Slap,SYNCBYTE,SYNCBYTE.FRO900,Finger Scanner,To capture Finger data,FRS,CK,10001
Face,3,1e4a76fb-dffd-4b90-91ea-2cfc90896428,Registration,SB.WIN.001,[0],SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,403316652,Logitech,C615,Face,Full face,SYNCBYTE,SYNCBYTE.LTC165,Face Cam,To capture Face,CMR,CK,10001
