dType,deviceId,deviceCode,purpose,serviceVersion,deviceSubId,firmware,deviceStatus,env,certification,callbackId,serialNo,make,model,type,deviceSubType,deviceProvider,deviceProviderId,name,description,deviceTypeCode,zoneCode,regCenterId
Iris,5026fd8f-6b65-4bd4-ba3b-0e9eabe3a7f9,5026fd8f-6b65-4bd4-ba3b-0e9eabe3a7f9,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,9374820,Eyecool,ECI102,Iris,Double,SYNCBYTE,SYNCBYTE,Double Iris,To capture Iris,IRS,CK,10001
Finger,34237ef4-cd62-4969-b9ae-9fcd4c645d6c,34237ef4-cd62-4969-b9ae-9fcd4c645d6c,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,C8R1DT00350,Aratek,FRO900,Finger,Slap,SYNCBYTE,SYNCBYTE,Finger Scanner,To capture Finger data,FRS,CK,10001
Face,786dbe1f-3d0d-4605-81dd-832cbdc52218,786dbe1f-3d0d-4605-81dd-832cbdc52218,Registration,SB.WIN.001,[0],SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,721061852,Logitech,C615,Face,Full face,SYNCBYTE,SYNCBYTE,Face Cam,To capture Face,CMR,CK,10001
