dType,deviceId,deviceCode,purpose,serviceVersion,deviceSubId,firmware,deviceStatus,env,certification,callbackId,serialNo,make,model,type,deviceSubType,deviceProvider,deviceProviderId,name,description,deviceTypeCode,zoneCode,regCenterId
Iris,576b76d2-a159-44be-acda-20d6338165f1,576b76d2-a159-44be-acda-20d6338165f1,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,9374817,Eyecool,ECI102,Iris,Double,SYNCBYTE,SYNCBYTE.TCI322,Double Iris,To capture Iris,IRS,CK,10001
Finger,dcd3bc57-cafa-498d-9891-55d5d7d3402d,dcd3bc57-cafa-498d-9891-55d5d7d3402d,Registration,SB.WIN.001,,SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,C8R1ET07671,Aratek,FRO900,Finger,Slap,SYNCBYTE,SYNCBYTE.FRO900,Finger Scanner,To capture Finger data,FRS,CK,10001
Face,1f9bb7ae-e9c7-46cd-bd9f-30bcaf1e6d3a,1f9bb7ae-e9c7-46cd-bd9f-30bcaf1e6d3a,Registration,SB.WIN.001,[0],SB.WIN.001,READY,STAGING,L0,http://127.0.0.1:4501/,403316652,Logitech,C615,Face,Full face,SYNCBYTE,SYNCBYTE.LTC165,Face Cam,To capture Face,CMR,CK,10001
